timestamp,device_id,department_id,kwh,source_type
2025-09-12 19:10:56,DEV_01,manufacturing,3.43,sensor
2025-09-12 19:10:56,DEV_02,manufacturing,3.487,sensor
2025-09-12 19:10:56,DEV_03,rnd,1.897,sensor
2025-09-12 19:10:56,DEV_04,admin,1.476,sensor
2025-09-12 19:40:56,DEV_01,manufacturing,3.665,sensor
2025-09-12 19:40:56,DEV_02,manufacturing,3.319,sensor
2025-09-12 19:40:56,DEV_03,rnd,1.798,sensor
2025-09-12 19:40:56,DEV_04,admin,1.269,sensor
2025-09-12 20:10:56,DEV_01,manufacturing,3.782,sensor
2025-09-12 20:10:56,DEV_02,manufacturing,3.533,sensor
2025-09-12 20:10:56,DEV_03,rnd,2.088,sensor
2025-09-12 20:10:56,DEV_04,admin,1.39,sensor
2025-09-12 20:40:56,DEV_01,manufacturing,3.702,sensor
2025-09-12 20:40:56,DEV_02,manufacturing,3.499,sensor
2025-09-12 20:40:56,DEV_03,rnd,1.953,sensor
2025-09-12 20:40:56,DEV_04,admin,1.351,sensor
2025-09-12 21:10:56,DEV_01,manufacturing,3.363,sensor
2025-09-12 21:10:56,DEV_02,manufacturing,3.642,sensor
2025-09-12 21:10:56,DEV_03,rnd,2.066,sensor
2025-09-12 21:10:56,DEV_04,admin,1.266,sensor
2025-09-12 21:40:56,DEV_01,manufacturing,3.362,sensor
2025-09-12 21:40:56,DEV_02,manufacturing,3.929,sensor
2025-09-12 21:40:56,DEV_03,rnd,1.911,sensor
2025-09-12 21:40:56,DEV_04,admin,1.371,sensor
2025-09-12 22:10:56,DEV_01,manufacturing,3.649,sensor
2025-09-12 22:10:56,DEV_02,manufacturing,3.633,sensor
2025-09-12 22:10:56,DEV_03,rnd,2.115,sensor
2025-09-12 22:10:56,DEV_04,admin,1.472,sensor
2025-09-12 22:40:56,DEV_01,manufacturing,3.654,sensor
2025-09-12 22:40:56,DEV_02,manufacturing,3.798,sensor
2025-09-12 22:40:56,DEV_03,rnd,1.963,sensor
2025-09-12 22:40:56,DEV_04,admin,1.478,sensor
2025-09-12 23:10:56,DEV_01,manufacturing,3.622,sensor
2025-09-12 23:10:56,DEV_02,manufacturing,3.604,sensor
2025-09-12 23:10:56,DEV_03,rnd,2.04,sensor
2025-09-12 23:10:56,DEV_04,admin,1.217,sensor
2025-09-12 23:40:56,DEV_01,manufacturing,3.94,sensor
2025-09-12 23:40:56,DEV_02,manufacturing,3.52,sensor
2025-09-12 23:40:56,DEV_03,rnd,1.76,sensor
2025-09-12 23:40:56,DEV_04,admin,1.393,sensor
2025-09-13 00:10:56,DEV_01,manufacturing,2.342,sensor
2025-09-13 00:10:56,DEV_02,manufacturing,2.439,sensor
2025-09-13 00:10:56,DEV_03,rnd,1.269,sensor
2025-09-13 00:10:56,DEV_04,admin,0.885,sensor
2025-09-13 00:40:56,DEV_01,manufacturing,2.295,sensor
2025-09-13 00:40:56,DEV_02,manufacturing,2.531,sensor
2025-09-13 00:40:56,DEV_03,rnd,1.463,sensor
2025-09-13 00:40:56,DEV_04,admin,0.855,sensor
2025-09-13 01:10:56,DEV_01,manufacturing,2.547,sensor
2025-09-13 01:10:56,DEV_02,manufacturing,2.433,sensor
2025-09-13 01:10:56,DEV_03,rnd,1.412,sensor
2025-09-13 01:10:56,DEV_04,admin,0.891,sensor
2025-09-13 01:40:56,DEV_01,manufacturing,2.525,sensor
2025-09-13 01:40:56,DEV_02,manufacturing,2.34,sensor
2025-09-13 01:40:56,DEV_03,rnd,1.322,sensor
2025-09-13 01:40:56,DEV_04,admin,0.886,sensor
2025-09-13 02:10:56,DEV_01,manufacturing,2.406,sensor
2025-09-13 02:10:56,DEV_02,manufacturing,2.506,sensor
2025-09-13 02:10:56,DEV_03,rnd,1.385,sensor
2025-09-13 02:10:56,DEV_04,admin,0.949,sensor
2025-09-13 02:40:56,DEV_01,manufacturing,2.731,sensor
2025-09-13 02:40:56,DEV_02,manufacturing,2.659,sensor
2025-09-13 02:40:56,DEV_03,rnd,1.49,sensor
2025-09-13 02:40:56,DEV_04,admin,0.893,sensor
2025-09-13 03:10:56,DEV_01,manufacturing,2.725,sensor
2025-09-13 03:10:56,DEV_02,manufacturing,2.413,sensor
2025-09-13 03:10:56,DEV_03,rnd,1.294,sensor
2025-09-13 03:10:56,DEV_04,admin,0.949,sensor
2025-09-13 03:40:56,DEV_01,manufacturing,2.312,sensor
2025-09-13 03:40:56,DEV_02,manufacturing,2.277,sensor
2025-09-13 03:40:56,DEV_03,rnd,1.365,sensor
2025-09-13 03:40:56,DEV_04,admin,0.898,sensor
2025-09-13 04:10:56,DEV_01,manufacturing,2.65,sensor
2025-09-13 04:10:56,DEV_02,manufacturing,2.669,sensor
2025-09-13 04:10:56,DEV_03,rnd,1.267,sensor
2025-09-13 04:10:56,DEV_04,admin,0.861,sensor
2025-09-13 04:40:56,DEV_01,manufacturing,2.564,sensor
2025-09-13 04:40:56,DEV_02,manufacturing,2.534,sensor
2025-09-13 04:40:56,DEV_03,rnd,1.457,sensor
